pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    623/1    0.018    0.000   39.169   39.169 {built-in method builtins.exec}
        1    0.000    0.000   39.169   39.169 runFlappyTest.py:1(<module>)
        1    0.000    0.000   37.071   37.071 DQNAgent.py:240(run_experiment)
        5    0.047    0.009   37.071    7.414 DQNAgent.py:182(episode)
 3696/168    0.050    0.000   30.763    0.183 module.py:471(__call__)
      168   26.379    0.157   30.760    0.183 DQNAgent.py:119(forward)
      336    0.026    0.000    4.341    0.013 DQNAgent.py:58(forward)
      168    0.002    0.000    3.733    0.022 tensor.py:65(backward)
      168    0.003    0.000    3.732    0.022 __init__.py:38(backward)
      168    3.723    0.022    3.723    0.022 {method 'run_backward' of 'torch._C._EngineBase' objects}
     1008    0.010    0.000    3.474    0.003 conv.py:299(forward)
     1008    3.461    0.003    3.461    0.003 {built-in method conv2d}
       50    0.002    0.000    2.717    0.054 __init__.py:1(<module>)
    700/4    0.009    0.000    2.014    0.503 <frozen importlib._bootstrap>:966(_find_and_load)
    700/4    0.007    0.000    2.013    0.503 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    870/3    0.002    0.000    2.011    0.670 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    667/3    0.008    0.000    2.010    0.670 <frozen importlib._bootstrap>:651(_load_unlocked)
    585/3    0.004    0.000    2.010    0.670 <frozen importlib._bootstrap_external>:672(exec_module)
   460/22    0.002    0.000    1.707    0.078 {built-in method builtins.__import__}
        1    0.000    0.000    1.556    1.556 DQNAgent.py:1(<module>)
 2167/743    0.008    0.000    1.222    0.002 <frozen importlib._bootstrap>:997(_handle_fromlist)
      168    0.040    0.000    1.199    0.007 adam.py:48(step)
      209    0.311    0.001    0.822    0.004 ple.py:280(getScreenGrayscale)
        4    0.001    0.000    0.725    0.181 __init__.py:9(<module>)
        2    0.000    0.000    0.595    0.298 __init__.py:2(<module>)
        1    0.000    0.000    0.590    0.590 torchvis.py:1(<module>)
        1    0.000    0.000    0.588    0.588 writer.py:15(<module>)
        1    0.000    0.000    0.570    0.570 event_file_writer.py:15(<module>)
        1    0.000    0.000    0.568    0.568 event_pb2.py:4(<module>)
        2    0.000    0.000    0.533    0.267 __init__.py:33(<module>)
        1    0.001    0.001    0.529    0.529 __init__.py:16(<module>)
        1    0.000    0.000    0.452    0.452 ple.py:1(<module>)
     1680    0.434    0.000    0.434    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
      672    0.005    0.000    0.433    0.001 linear.py:54(forward)
      672    0.005    0.000    0.426    0.001 functional.py:1010(linear)
      672    0.411    0.001    0.411    0.001 {built-in method addmm}
      209    0.001    0.000    0.404    0.002 ple.py:266(getScreenRGB)
      209    0.002    0.000    0.404    0.002 pygamewrapper.py:89(getScreenRGB)
      209    0.001    0.000    0.373    0.002 surfarray.py:116(array3d)
      209    0.001    0.000    0.372    0.002 _numpysurfarray.py:143(array3d)
      209    0.368    0.002    0.368    0.002 {built-in method pygame.pixelcopy.surface_to_array}
        3    0.000    0.000    0.342    0.114 functional.py:1(<module>)
